category,Average AdvMSS,Minimum AdvMSS,Maximum AdvMSS,Median AdvMSS
1 Sep 2022,1448,1448,1448,1448
2 Sep 2022,1448,1448,1448,1448
3 Sep 2022,1448,1448,1448,1448
4 Sep 2022,1448,1448,1448,1448
5 Sep 2022,1448,1448,1448,1448
6 Sep 2022,1448,1448,1448,1448
7 Sep 2022,1448,1448,1448,1448
8 Sep 2022,1448,1448,1448,1448
9 Sep 2022,1448,1448,1448,1448
10 Sep 2022,1448,1448,1448,1448
11 Sep 2022,0,0,0,0
12 Sep 2022,1448,1448,1448,1448
13 Sep 2022,1448,1448,1448,1448
14 Sep 2022,1448,1448,1448,1448
15 Sep 2022,1448,1448,1448,1448
16 Sep 2022,1448,1448,1448,1448
17 Sep 2022,1448.5714,1448.5714,1448.5714,1448.5714
18 Sep 2022,1448,1448,1448,1448
19 Sep 2022,1448,1448,1448,1448
20 Sep 2022,1448,1448,1448,1448
21 Sep 2022,1448,1448,1448,1448
22 Sep 2022,1448,1448,1448,1448
23 Sep 2022,1448,1448,1448,1448
24 Sep 2022,1448,1448,1448,1448
25 Sep 2022,1448,1448,1448,1448
26 Sep 2022,0,0,0,0
27 Sep 2022,0,0,0,0
28 Sep 2022,0,0,0,0
29 Sep 2022,0,0,0,0
30 Sep 2022,0,0,0,0
