category,Average Reordering,Minimum Reordering,Maximum Reordering,Median Reordering
1 Jun 2022,3,3,3,3
2 Jun 2022,3,3,3,3
3 Jun 2022,3.0345,3.0345,3.0345,3.0345
4 Jun 2022,3,3,3,3
5 Jun 2022,3,3,3,3
6 Jun 2022,3,3,3,3
7 Jun 2022,3,3,3,3
8 Jun 2022,3,3,3,3
9 Jun 2022,3,3,3,3
10 Jun 2022,3,3,3,3
11 Jun 2022,3,3,3,3
12 Jun 2022,3,3,3,3
13 Jun 2022,3,3,3,3
14 Jun 2022,3,3,3,3
15 Jun 2022,3,3,3,3
16 Jun 2022,3,3,3,3
17 Jun 2022,3,3,3,3
18 Jun 2022,0,0,0,0
19 Jun 2022,0,0,0,0
20 Jun 2022,0,0,0,0
21 Jun 2022,0,0,0,0
22 Jun 2022,0,0,0,0
23 Jun 2022,0,0,0,0
24 Jun 2022,0,0,0,0
25 Jun 2022,0,0,0,0
26 Jun 2022,0,0,0,0
27 Jun 2022,0,0,0,0
28 Jun 2022,0,0,0,0
29 Jun 2022,0,0,0,0
30 Jun 2022,0,0,0,0
