category,Average PMTU,Minimum PMTU,Maximum PMTU,Median PMTU
1 Aug 2022,0,0,0,0
2 Aug 2022,0,0,0,0
3 Aug 2022,0,0,0,0
4 Aug 2022,0,0,0,0
5 Aug 2022,0,0,0,0
6 Aug 2022,0,0,0,0
7 Aug 2022,0,0,0,0
8 Aug 2022,0,0,0,0
9 Aug 2022,0,0,0,0
10 Aug 2022,0,0,0,0
11 Aug 2022,0,0,0,0
12 Aug 2022,0,0,0,0
13 Aug 2022,0,0,0,0
14 Aug 2022,0,0,0,0
15 Aug 2022,64076,64076,64076,64076
16 Aug 2022,64076,64076,64076,64076
17 Aug 2022,64076,64076,64076,64076
18 Aug 2022,64076,64076,64076,64076
19 Aug 2022,64076,64076,64076,64076
20 Aug 2022,64076,64076,64076,64076
21 Aug 2022,64076,64076,64076,64076
22 Aug 2022,64076,64076,64076,64076
23 Aug 2022,64076,64076,64076,64076
24 Aug 2022,64076,64076,64076,64076
25 Aug 2022,64076,64076,64076,64076
26 Aug 2022,64076,64076,64076,64076
27 Aug 2022,64076,64076,64076,64076
28 Aug 2022,64076,64076,64076,64076
29 Aug 2022,64076,64076,64076,64076
30 Aug 2022,64076,64076,64076,64076
31 Aug 2022,64076,64076,64076,64076
