category,Average Retrans,Minimum Retrans,Maximum Retrans,Median Retrans
1 Jan 2022,0,0,0.0476,0
2 Jan 2022,0,0,0.0476,0
3 Jan 2022,0,0,0,0
4 Jan 2022,0,0,0.0667,0
5 Jan 2022,0,0,0.0238,0
6 Jan 2022,0,0,0.0133,0
7 Jan 2022,0,0,0,0
8 Jan 2022,0,0,0,0
9 Jan 2022,0,0,0.0714,0
10 Jan 2022,0,0,0.05,0
11 Jan 2022,0,0,0.0286,0
12 Jan 2022,0,0,0.037,0
13 Jan 2022,0,0,0.087,0
14 Jan 2022,0,0,0,0
15 Jan 2022,0,0,0.0909,0.0455
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,0,0,0.0526,0
19 Jan 2022,0,0,0.0233,0.0233
20 Jan 2022,0,0,0,0
21 Jan 2022,0,0,0,0
22 Jan 2022,0,0,0.0152,0
23 Jan 2022,0,0,0.0217,0
24 Jan 2022,0,0,0.1,0
25 Jan 2022,0,0,0.0303,0
26 Jan 2022,0,0,0.0597,0
27 Jan 2022,0,0,0,0
28 Jan 2022,0,0,0,0
29 Jan 2022,0,0,0.0238,0
30 Jan 2022,0,0,0.0185,0
31 Jan 2022,0,0,0.1,0
